gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
GLDC,57.6570955387213,-5.47815951242619,1.03231096367182,2.6030860824043e-09,5.66037731328967e-07
MCM2,186.397609766738,-1.90531888288353,0.362505563491665,2.69606728735623e-09,5.78835408365178e-07
ITM2C,856.691182828826,-1.95458973203028,0.377673731487372,3.05709878486813e-09,6.48143156126855e-07
DTL,55.3119389292491,-2.73473179019333,0.525116157949355,3.42215904259551e-09,7.16583203968673e-07
ALDH1A1,371.240707820509,2.24872437618801,0.399874186325692,3.70437244845658e-09,7.66217818271611e-07
CDC45,42.3875577380546,-3.07936242636215,0.589494021880058,3.9405861202005e-09,8.05256399815912e-07
STIL,39.0622646600318,-2.53249955282976,0.475244904442959,4.07893407859699e-09,8.23604772703375e-07
IGLV3-19,685.726600314439,-4.95424212201151,1.05221657052898,4.2313225346378e-09,8.44323076588139e-07
ZBTB46,49.1429378418472,1.72229932492546,0.318079585926436,4.72783232867946e-09,9.32427489845724e-07
PYCR1,29.8791124854455,-3.68318599375725,0.70280023104857,5.80107775478565e-09,1.13094344596459e-06
FOXM1,49.0693028964227,-2.36196930075983,0.453702129091943,6.25157598059421e-09,1.20492022962339e-06
PAX8-AS1,200.043847822538,-0.108998629693007,0.274319695861013,6.83267641066391e-09,1.30212387192439e-06
SLC2A5,61.6762826480506,-3.37905326760363,0.660800382879805,7.56935955697388e-09,1.42166421484435e-06
CASC8,11.242401613664,5.41255478584532,0.932650569880259,7.62758348864076e-09,1.42166421484435e-06
E2F1,125.85072760349,-2.70186234894769,0.544641731865837,7.81934351925491e-09,1.44156397206611e-06
HMGA1,1049.72002411708,-1.09021301667965,0.209502924354411,8.11303639217407e-09,1.46569036984646e-06
RECQL4,91.2708962596579,-1.72449259190627,0.33661012635538,8.12304078565928e-09,1.46569036984646e-06
TNFRSF17,101.757917401475,-4.28993170196842,0.89250441697796,8.51480569539292e-09,1.52020651999536e-06
IGHV4-61,58.1111203800605,-4.60580345290316,0.929658579557818,8.73593879713877e-09,1.54344018685699e-06
CACNA2D3,69.6768854468229,2.253189383408,0.415218569164482,8.92912706958926e-09,1.5613084971887e-06
ORC1,39.5019939985638,-2.96197879942381,0.575779408043373,9.90029957869319e-09,1.71345899136954e-06
GINS2,48.2320306961335,-2.63325477852487,0.5255754577797,1.20446841742143e-08,2.06353422503887e-06
KNTC1,213.93315645551,-1.17264533997607,0.22779364666438,1.22103459232623e-08,2.07099677204451e-06
CENPF,63.3432881384539,-2.23938436581959,0.445957078227658,1.24460985264677e-08,2.08660873437359e-06
IGHV3-20,188.60159875242,-5.53985250445118,1.22622279487501,1.25484400038975e-08,2.08660873437359e-06
SEC11C,560.947690479287,-1.40142250271303,0.279750581055328,1.32244602992533e-08,2.17767059354985e-06
MCM6,419.622098251227,-1.59651557789707,0.321447642291492,1.46493736246981e-08,2.37235515015167e-06
MTUS1,39.7606985448792,2.81568317246321,0.519775698972626,1.48263454935486e-08,2.37235515015167e-06
IGHV1-2,520.555354150498,-5.20139218737011,1.17890725427298,1.47789813075276e-08,2.37235515015167e-06
FEN1,242.472817312298,-1.34419167314754,0.268152688421112,1.55596058948718e-08,2.46641565965347e-06
BUB1,90.1239600260359,-2.52890645513466,0.52011325167751,1.59403945401487e-08,2.50337992403206e-06
TRIP13,34.2614198695297,-3.1243607509643,0.628360884063928,1.62615571028549e-08,2.50738427292293e-06
TCF19,184.924667308842,-1.34801582447969,0.268450513074029,1.61889160154884e-08,2.50738427292293e-06
NCAPG,39.5253581298013,-2.90108094557582,0.584861185237911,1.75708046603471e-08,2.68485061120854e-06
IGKV2D-29,115.656419953749,-6.51538890524639,1.42499292349334,1.87488857788659e-08,2.839284390137e-06
IGKV3D-20,123.223405737381,-5.5569390363231,1.24020857482037,2.10134986686014e-08,3.15407036210751e-06
IGLV2-8,178.941338885896,-3.81155477876626,0.835477802971322,2.36851309155392e-08,3.52389039875843e-06
CDCA3,28.3928581714808,-2.57991702531941,0.514946456439672,2.51835758805403e-08,3.71424896095516e-06
IGLV1-51,59.5356671719202,-5.19498443930882,1.12060290489614,2.85252553569283e-08,4.17083496645569e-06
IGHV3-13,79.4174290880464,-5.94076122528979,1.29141761077905,2.9792475736916e-08,4.31889043567378e-06
CEP55,28.8462613221066,-3.45623331020202,0.703116240413588,3.09104550338046e-08,4.44298498159627e-06
CLSPN,41.4412646916367,-2.43892162845481,0.503747018183875,3.7488123440489e-08,5.29863384728446e-06
TOP2A,161.852597545723,-2.28810709779373,0.489092904754706,3.74327642294823e-08,5.29863384728446e-06
GTSE1,24.440658555968,-3.26048850724278,0.654922768181273,3.79880418782091e-08,5.32491882889507e-06
CDCA2,25.5466128492946,-3.68871027827248,0.753505587092325,4.14306234853423e-08,5.75987545028599e-06
LPAR1,65.2554822043727,2.58441425331204,0.495596728107776,4.25597832058216e-08,5.86875189393448e-06
SLC25A4,155.247097895307,-1.53307204041744,0.320513412558624,4.49043117432781e-08,6.14211315707854e-06
HJURP,37.4075948290842,-2.70694470110433,0.5729421750796,5.60484891719088e-08,7.60510739875796e-06
CDK1,54.3517743216698,-2.74557573923397,0.593209970713884,5.93097163241342e-08,7.9837468140765e-06
IGHV5-51,236.637409847428,-3.06035448224503,0.689498990716991,7.10803192459108e-08,9.49286058842436e-06
RNASE1,113.145104404195,-4.6122742343489,1.08512832761752,7.23884783717438e-08,9.59203891924333e-06
MANF,338.344196132405,-1.33312549646669,0.283163374243571,7.32773065657044e-08,9.63454571054971e-06
GMNN,87.5044723167094,-1.86414886372713,0.396654810348128,7.70215101002387e-08,1.00489371754627e-05
SKA1,21.6825408566613,-4.20973631067202,0.834060210886226,7.82472130090765e-08,1.0130923510282e-05
SLCO4A1,45.4974201955363,-3.15196662935524,0.693025122713668,8.26089637078151e-08,1.06146260109716e-05
ZNF652,440.960224835491,0.776291323103923,0.156242864006184,8.32722122646242e-08,1.06193984377465e-05
IGKV3-20,906.448491574748,-3.71796583720632,0.885331617115716,8.73106566585756e-08,1.1051313787956e-05
ARNTL2,24.4989230290596,-3.23262078849033,0.665780861447563,8.91232070942607e-08,1.11971756705612e-05
KCNN3,27.5201688108218,-3.99418815264619,0.854513291331633,9.19940495385037e-08,1.14728755457541e-05
NDC80,75.6424277597091,-1.73303968238517,0.371581306038562,9.55879178913765e-08,1.18340633237638e-05
GGH,57.6402025401375,-2.19079158946866,0.479309372356853,9.75251337187144e-08,1.1986404297124e-05
PKMYT1,44.936594656818,-2.56228818938301,0.565885575781815,1.08907026234296e-07,1.32890077119417e-05
CCNF,83.1761900643744,-1.56270408446904,0.339889779450057,1.25713898212536e-07,1.52302387684487e-05
IGKV1-12,60.5175891928749,-4.2896226862493,0.991685676924281,1.32109027561774e-07,1.58570292215654e-05
DERL3,54.743800612498,-2.59919936147492,0.58278901662998,1.32757393400288e-07,1.58570292215654e-05
CTNNAL1,44.7298297120382,-2.28119471159387,0.499875074928427,1.45364528056388e-07,1.72414528696811e-05
XK,73.6706163846537,-3.57717378137445,0.834957718150806,1.58293293419669e-07,1.86445315950764e-05
KNL1,37.7480943621837,-2.23558554365633,0.492042500516383,1.70661301187725e-07,1.9962664341e-05
DEPDC1B,21.0273798259755,-3.6078107407055,0.763519444576695,1.79951895792818e-07,2.09052335927533e-05
IGHA1,17479.2612454227,-3.80892871969891,0.962433149376014,2.01293950003177e-07,2.32254876598904e-05
RTN1,519.146830539955,1.89186920204224,0.390246041571932,2.02835925011331e-07,2.32452711088999e-05
DLGAP5,36.0547283656455,-3.1970156893059,0.742500110034072,2.57045722001126e-07,2.92600838312826e-05
GSTM3,84.0192692234536,-3.04486545981908,0.695726899281877,2.62668078971441e-07,2.97007552495641e-05
H1-5,21.8586410991637,-2.79163951505878,0.628474707559518,2.73887503309262e-07,3.07642777723735e-05
SPATS2,102.203576842758,-1.3021589027301,0.286908975061537,2.78380124607306e-07,3.10631927201613e-05
POU2AF1,312.088476331396,-1.97467520631711,0.464212305851923,2.85974824763042e-07,3.17020849856598e-05
IGHV3-49,137.256835507602,-3.82377771047864,0.974960279515735,3.18083445205024e-07,3.50325539878079e-05
LINC00877,490.866214114991,1.91870216156988,0.402981560659816,3.24028202498227e-07,3.53192715384475e-05
IFI27L1,40.9348276813538,-1.67504597598322,0.371124259325261,3.24851504038548e-07,3.53192715384475e-05
KIF15,33.0557196469631,-2.22752067856153,0.512509311343609,3.73255369417424e-07,4.03234670107575e-05
FAM135A,99.6911407365248,1.12608279422677,0.243126358911875,3.79291919792081e-07,4.07162674151487e-05
FKBP11,702.820705167088,-1.2917394593948,0.302428928117621,4.35241185973359e-07,4.64284638697745e-05
IGLV3-10,306.723299069167,-4.4850790029691,1.21961481597305,4.62101104243159e-07,4.89856051816763e-05
IGHV6-1,83.5092783378717,-3.71054099641313,0.941294096794689,4.9566102651647e-07,5.22168116195394e-05
MYL6B,40.6465954654828,-1.857279377206,0.41430749746972,5.20289489094018e-07,5.44730248427385e-05
MCM7,1140.5263819909,-0.972192753042386,0.223718281920912,5.3803730141275e-07,5.59855869279856e-05
TPST1,98.9478153083694,-3.35853175577407,0.855384162464397,5.46036852080068e-07,5.63952863378002e-05
CRELD2,511.790955594124,-0.929127364097091,0.212783290073385,5.48624623886388e-07,5.63952863378002e-05
FANCG,157.455355636346,-1.0252524486122,0.234051675053844,5.67030297642183e-07,5.79361498693318e-05
KIF2C,45.0094098452913,-2.20851394783837,0.529563105110813,6.06589971906435e-07,6.12524735686573e-05
IGLV3-16,22.5446689410455,-8.20812352763361,2.82776437016096,6.06710427423762e-07,6.12524735686573e-05
KIF11,83.1929802321579,-1.80279223016109,0.434266710529689,6.69554320993041e-07,6.71971055524436e-05
TXNDC5,77.0751674671479,-2.31020262526233,0.571877547295605,6.86843896532374e-07,6.85268195828564e-05
SUB1,1806.31640571975,-0.855670916588797,0.200131992581001,7.26305550020697e-07,7.16213281040758e-05
DYNC2I2,134.551293661359,-1.28229561049215,0.302482594304187,7.23039376944518e-07,7.16213281040758e-05
IGHV4-34,575.466564076692,-3.65690837858721,0.995654881947527,7.36769032981555e-07,7.22331766959546e-05
GMPR,227.608289951189,-2.61360478475407,0.672183242481731,7.92788564410952e-07,7.72786600055986e-05
DHRS9,52.4422665904751,2.50583834290493,0.542985857374862,8.6166334547497e-07,8.30379091056873e-05
NT5DC2,86.4807731250149,-2.23806453050123,0.555757750001644,8.58734383294479e-07,8.30379091056873e-05
SDC1,29.9537975044988,-5.89933831144942,1.34467046364192,8.67035875821407e-07,8.3083590337892e-05
WFS1,56.3129683341748,-1.60682270388501,0.38230708256768,8.74570127911036e-07,8.31684494031277e-05
IFITM3,3958.21670770146,-2.91561875905549,0.777083374106566,8.77728461951527e-07,8.31684494031277e-05
DESI1,347.130022880583,-0.818187728901306,0.188700246456836,9.34852245291514e-07,8.80890496243854e-05
IGLV3-27,54.7732551476253,-4.70891260324837,1.25866359053405,9.51287184799185e-07,8.91424416650772e-05
MELK,25.1316623988423,-2.48365815974214,0.600445580461634,1.02157215321713e-06,9.5202666432504e-05
PPARGC1B,174.817098431488,1.08386278170472,0.244705434973731,1.0952191191927e-06,0.00010150825945698
NAIPP3,10.4297812220789,2.74304200673695,0.607453359747484,1.10482414901527e-06,0.000101841969518739
ABCB9,50.4388120743144,-2.22073778130446,0.548178153165565,1.12070165976458e-06,0.000102519222166885
SMIM5,73.9000474380237,-2.95878599824639,0.762699809558342,1.1242600862591e-06,0.000102519222166885
CLU,2907.08583227008,-2.7832537572814,0.750020278991876,1.13746580126623e-06,0.000103168756445329
CKAP2L,20.0031866947067,-3.38885070839781,0.803620004046077,1.39552968310608e-06,0.000125902015718948
HSP90B1,4181.90370478905,-1.08673597927081,0.266945058628613,1.41159214248387e-06,0.000126677324490312
HERC2P3,48.1210844667218,-3.93445353599558,0.984505878572953,1.45512389373166e-06,0.000129896612429382
GFI1B,265.288387515672,-2.45956807183732,0.650916372713823,1.51409310940718e-06,0.000134453053553169
GOLGA2,268.014004100685,-0.927353510433713,0.220755312471325,1.57424369864792e-06,0.000139066392566497
ZNF555,51.0210577252783,1.23968198990148,0.289075430365507,1.62364041302753e-06,0.00014268686552
RMI2,33.7219720439047,-1.99867433758589,0.493737640351044,1.65800508094913e-06,0.000144955794731846
TNFRSF8,188.018786537051,1.53013289338966,0.350391817434014,1.67963200279716e-06,0.000146093530253552
ANLN,25.7358517323387,-2.76122927235557,0.680708163434618,1.76467683696463e-06,0.000152707570570189
TSPY26P,32.7930728731899,1.26859662889126,0.301433577281378,1.86439988319011e-06,0.00016051820517151
SKA3,22.8623605376394,-3.05659674873877,0.769580972277887,1.887529104943e-06,0.000161688793681507
IGHV3-74,151.809939652092,-3.09719394099693,0.866810417415205,1.92476838722241e-06,0.000164050234249645
DAZAP1,841.998212252351,-0.926424359587852,0.226479656787739,2.12661736379398e-06,0.000180347785536548
KIFC1,35.943880092405,-2.22072240149829,0.569672471209506,2.28488569222894e-06,0.000191851218940075
PSAT1,59.4146831331528,-1.76224041505921,0.451783202921364,2.27508554476276e-06,0.000191851218940075
IGKV1-27,64.7814510627331,-3.23330061574827,0.894285988655947,2.30785107403897e-06,0.000192824936289532
POLQ,29.7241486851515,-1.86457573068223,0.470876638731235,2.36192412260965e-06,0.000196375465899913
MCM4,315.03591122786,-1.34425286015591,0.346658247812938,2.40668040062444e-06,0.00019912051841459
KIF20A,24.6753678077339,-3.01671676969168,0.786953290007232,2.43394336268003e-06,0.000200398608613669
SEZ6L,47.3846917233188,1.7744948415583,0.417867050880972,2.53076982028306e-06,0.000207364188028121
CDKN3,37.9973711640954,-2.12201948114588,0.550853848766228,2.56535437323296e-06,0.000209187382328866
DHFR,92.2045163588458,-1.55348128210205,0.386383150932509,2.59223582949439e-06,0.00021036799954093
CD4,4459.26300687042,0.802239541296065,0.188734274718071,2.79753226631485e-06,0.000225947356042696
IGHV2-70,71.4724876532085,-7.66072913299925,1.83838729870401,2.88998606509066e-06,0.000232308311137453
IGHV3-53,67.2880708764901,-3.7844334972834,1.10134795811645,2.98354018337809e-06,0.000238697287972999
CMTM5,214.45007579569,-0.286713883504108,0.738337068371582,3.06582872360647e-06,0.000244129206483987
NUF2,31.2584602871234,-1.77309163027615,0.444617531046995,3.14429297728214e-06,0.000248048154361313
FAM98A,191.317306030862,-0.860758676390289,0.212912599303194,3.13665227950862e-06,0.000248048154361313
IGHV3-69-1,15.1745518093684,-7.5280120397862,2.79162608261119,3.31308736192638e-06,0.000260154049748302
NECAP2,1490.22677402088,0.578923927920727,0.135363766559993,3.48550451112902e-06,0.00027243153001502
PTTG1,128.42810917439,-1.4781659324121,0.389591007770852,3.63219442214217e-06,0.000281304336045449
TUBA1C,323.509416493963,-1.50422119309183,0.396561888652516,3.63032782033349e-06,0.000281304336045449
LMAN1,653.260377078041,-1.06669391072948,0.277002119136563,3.76385788018737e-06,0.000290176334117536
SEL1L3,1616.3202938338,-0.678537902790969,0.249045669908511,3.8291686218596e-06,0.000293875696811587
B4GALT2,38.0915650922526,-1.6299997870735,0.419417677617509,3.98824569643824e-06,0.000304705564222022
TXNDC11,1201.89903678297,-0.945298248495121,0.244531887305287,4.19916001813999e-06,0.000319380955460414
MYL9,754.898794945239,-0.128107900965437,0.290166575803802,4.37461763986904e-06,0.000331240579418834
IGLV4-60,38.2255185425,-4.6162614321361,1.32652518915616,4.43242165668932e-06,0.000333284364516006
HMGB3,64.998674664444,-1.65776702578305,0.442907243137552,4.44090952070145e-06,0.000333284364516006
NEK2,13.6644909488047,-3.5064591896279,0.852334672293848,4.68488161158487e-06,0.000346988109231839
NCAPH,57.3486830873682,-1.57916750525953,0.419893761180412,4.65089121169998e-06,0.000346988109231839
CHEK1,42.7243222222558,-1.70672695025523,0.448896086548226,4.67174244235337e-06,0.000346988109231839
NUCB2,604.214003875352,-0.951792757906287,0.247612546433353,4.80346828410237e-06,0.000354224458985479
NFXL1,125.598685427287,0.740746488220738,0.180165441938701,4.93230605169704e-06,0.000362150835250362
FAAH,160.195080786177,1.16631192860036,0.28518209531175,4.96945338943294e-06,0.000363305598871431
DNAJC25,60.4620780689378,-1.57042144239931,0.406006053993841,5.04546014363002e-06,0.000367279182386733
ASB13,200.459163334613,1.02297322604123,0.250355548551499,5.08663185249834e-06,0.000368693858334292
ARHGEF10L,450.128643990168,1.36857793237617,0.333465583811922,5.13451853630803e-06,0.000370465178852714
RPL10P9,1177.82172523653,-0.107432892561099,0.272469829625033,5.15475397731504e-06,0.000370465178852714
H2AZ2,1069.37310623962,-0.565608553899606,0.139376256733375,5.23017070270058e-06,0.000373886358349659
ZBTB32,92.8436253274279,-2.25738200311647,0.642781656730916,5.24644497890566e-06,0.000373886358349659
TBXA2R,79.7258452253995,-2.16529616203601,0.609685441146673,5.44034267900818e-06,0.000386082226688944
FOSL1,116.952821310484,-0.105612698634774,0.271098236705002,5.55252262597846e-06,0.000392401401080086
PRDX4,237.69641112149,-0.901445815893557,0.238009502274038,5.93535862294845e-06,0.000417716255617546
MAD2L1,91.3982664010449,-1.40372000552455,0.379883961931378,5.9978975720839e-06,0.000420373308760806
TMCC2,114.633838894846,-2.36912825596417,0.694308273249671,6.09174003150323e-06,0.000425193426643318
CENPA,13.8459343179896,-2.94262148161367,0.766658240217458,6.28207371698434e-06,0.000436681361941686
CLPTM1L,1243.19499725744,-0.66508961860029,0.135812641444699,6.42393246938896e-06,0.000444719667809413
TEDC2,12.19507485627,-2.90659927030054,0.736039588821628,6.65521398972368e-06,0.000458858066990664
SDF2L1,392.758376262428,-1.08375371730493,0.293235182774135,6.68530688738671e-06,0.00045906676160715
MT1F,84.6085125410312,-1.40068945003841,0.376776007599008,6.76971842147934e-06,0.000462988686075448
PCNA,382.090714778657,-1.13710170030468,0.308658070071417,7.04723060575052e-06,0.000480032442988492
TTK,19.7188365986627,-2.47625371646192,0.662660744796881,7.30519939998001e-06,0.000495613948092244
IGHV2-70D,31.0459843291703,-8.45870276136189,3.32806390972369,7.65863743091996e-06,0.000517522507832006
IGKV2-29,60.2496570446942,-0.0641921055679676,0.247223853977687,8.04675322615682e-06,0.000541591196304944
CDCA5,45.4461688633816,-1.96663182033072,0.560404888437808,8.11114191820456e-06,0.000543767107014496
LINC02724,18.979274791096,1.80113087241082,0.452944878399455,8.24833641637411e-06,0.000550787535268194
CD38,486.359178862564,-1.64854072977608,0.47853786712857,8.36289708659906e-06,0.000554074599553932
ZNF398,259.204630993767,0.792328122182827,0.198424831773966,8.33365288263304e-06,0.000554074599553932
SPARC,2666.76646663789,-0.322319601267057,1.10640783849657,8.41879213730965e-06,0.000555607523116377
WAC-AS1,281.668528891107,0.830998242657241,0.210727682636144,8.52090020355616e-06,0.00056016662152138
DNAJC15,442.500201652801,-0.787554498679583,0.209138220133832,8.75719726291245e-06,0.000573478080217212
SLAMF7,1320.76143778772,-1.30495485282463,0.370566851511957,9.02068951765003e-06,0.000588461211187931
ELL2,350.46376227524,-1.77594750985353,0.526125513810001,9.09360236997727e-06,0.000590944788494959
PDLIM1,608.057778684391,-1.37327387886126,0.391592903949845,9.16775608202869e-06,0.000593489736287361
CPNE5,409.744528711589,-1.59891648887425,0.464678192161642,9.26635824564458e-06,0.00059759202359079
TROAP,24.6169485460197,-2.47377269780163,0.706786932458762,9.51993793319232e-06,0.000609311952018396
METTL7B,59.432890634004,-4.90419153947386,1.68901387108456,9.49495431448103e-06,0.000609311952018396
CHAF1B,50.4094787955454,-1.44836365090636,0.39659437240193,1.00440663726385e-05,0.000640441390023766
